005,3,0,52,0.4893975257873535,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,48,0.39046716690063477,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,1.4663832187652588,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,51,1.1634047031402588,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,55,0.3295912742614746,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,52,0.37784790992736816,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,70,0.22954010963439941,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,57,2.6595280170440674,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,69,2.0019237995147705,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,66,0.9449751377105713,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,66,2.052208185195923,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,53,2.1310572624206543,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,1.0689759254455566,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,61,2.8582444190979004,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,74,1.3514158725738525,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,57,1.7306392192840576,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,68,2.5852715969085693,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,70,1.451392650604248,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,70,3.48252010345459,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,65,2.0405611991882324,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,70,0.29232048988342285,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,71,2.451392412185669,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,72,2.5156805515289307,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,74,2.8595359325408936,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,69,3.205491781234741,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,69,2.2446107864379883,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,64,0.9616553783416748,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,70,7.810929775238037,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,70,4.479032039642334,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,0,70,3.6938605308532715,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,74,3.5512306690216064,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,76,3.8475310802459717,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,75,5.37028431892395,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,70,6.13925576210022,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
