010,2,0,67,1.502838134765625,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,63,8.769569158554077,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,68,3.3724467754364014,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,63,8.67056393623352,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,62,7.368046998977661,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,0,70,22.790197372436523,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,0,67,18.26726770401001,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,68,1.3661057949066162,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,69,5.113293170928955,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,67,13.079969882965088,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,69,24.256875038146973,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,66,1.4324753284454346,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,70,7.994366407394409,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,61,9.925530433654785,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,59,5.023570537567139,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,60,14.296418190002441,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,67,18.85014772415161,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,62,15.755626440048218,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,71,15.495389938354492,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,71,6.966594934463501,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,65,16.180049419403076,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,70,30.134110689163208,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,73,26.8624324798584,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,72,3.069286823272705,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,67,3.808203935623169,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,66,9.310034036636353,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,63,10.13235878944397,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,66,19.249526739120483,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,68,5.708475589752197,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,67,10.419902086257935,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,66,13.68756890296936,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,48,14.216349840164185,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,62,16.8628568649292,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,59,12.495553255081177,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,61,11.854931592941284,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,2,0,65,7.714681386947632,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,1,0,66,12.678433418273926,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,62,18.96890616416931,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,61,12.141140222549438,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,64,18.878052234649658,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,64,21.33658194541931,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,65,14.39017105102539,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,66,18.180931568145752,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,65,18.47371006011963,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,0,73,6.015849351882935,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,68,20.1139132976532,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,69,16.973624229431152,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,68,17.70145058631897,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,62,3.5873918533325195,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,73,8.438047885894775,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,65,22.99852752685547,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,1,0,69,19.518550872802734,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,4,0,71,28.85800838470459,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,74,23.524744272232056,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,73,14.20548677444458,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,52,0.7553753852844238,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,63,5.801969766616821,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,65,1.2145190238952637,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,59,8.087006568908691,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,68,2.4962801933288574,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,58,6.661198854446411,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,59,5.283759117126465,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,50,4.008515357971191,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
