060,0,0,74,5.437999248504639,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,73,5.689550161361694,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
100,4,0,75,11.024524927139282,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,76,19.975340843200684,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,75,14.909125566482544,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,74,21.421626091003418,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,0,63,5.783071994781494,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,54,4.594791650772095,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,60,10.262383937835693,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,59,1.4333531856536865,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,60,7.216324090957642,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,63,3.4835622310638428,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
015,0,0,66,4.519428491592407,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,61,6.376321792602539,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,68,7.53982400894165,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,54,6.93497896194458,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,64,5.246061563491821,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,70,0.5511572360992432,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,65,3.3740344047546387,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,68,4.837331771850586,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,67,5.0215253829956055,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,69,5.23441481590271,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,72,9.607267618179321,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,68,10.28602910041809,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,68,3.139784097671509,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,68,1.7400968074798584,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,72,4.633407831192017,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,66,3.3815689086914062,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,73,9.404656648635864,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,70,5.840260744094849,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,74,3.8317198753356934,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,71,9.389138221740723,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,72,8.22188401222229,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,76,7.279034852981567,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,74,3.8571481704711914,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,70,8.819370985031128,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,73,8.388519525527954,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,74,13.918848991394043,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,74,6.471012353897095,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,75,5.18327522277832,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,74,7.618062973022461,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,53,3.4091296195983887,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,60,1.5837061405181885,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,60,5.866441011428833,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,53,0.8991174697875977,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,70,2.2536795139312744,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,64,5.519517660140991,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,51,0.6113193035125732,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,70,1.9850232601165771,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,60,9.339648962020874,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,53,0.7743926048278809,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,68,6.888474702835083,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,62,2.817610263824463,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,72,15.569414138793945,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,67,5.53404688835144,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,71,9.543835639953613,{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}
015,1,0,55,6.932080984115601,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,73,4.159961223602295,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,68,3.8540682792663574,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,67,2.4749996662139893,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,57,1.6356337070465088,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,72,12.754529237747192,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,72,5.94091272354126,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,68,6.1701202392578125,{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}
030,1,0,65,1.9609041213989258,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,0,69,9.632244110107422,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,71,9.519816637039185,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
100,2,0,76,8.460692882537842,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,73,5.481197357177734,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,72,10.819974660873413,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,74,12.461060762405396,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,75,5.3510448932647705,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,74,12.268706560134888,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,0,74,15.680864810943604,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
