005,3,0,60,0.5331807136535645,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,52,0.38098621368408203,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,66,3.294677972793579,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,50,3.1851377487182617,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,50,3.8587257862091064,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,51,3.1926326751708984,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,55,7.484132528305054,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,56,6.549265146255493,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,68,0.2723982334136963,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
010,3,0,68,3.2459075450897217,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,66,4.526053428649902,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,73,0.31795334815979004,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,65,4.659989833831787,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,66,4.486066102981567,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,73,0.9425854682922363,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,58,7.217383146286011,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,68,2.4955155849456787,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,70,9.62907862663269,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,48,0.48727869987487793,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,69,2.6048152446746826,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,73,8.10096287727356,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,70,2.234198570251465,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,0,69,9.202778339385986,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,54,6.6520750522613525,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,0,76,7.525409698486328,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,70,5.285134315490723,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,71,6.174115896224976,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,72,10.465087413787842,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,76,9.158602714538574,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,74,9.504569292068481,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,71,2.20285964012146,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,72,14.015580654144287,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,0,76,7.245256662368774,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,72,6.118242979049683,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,0,72,9.885390996932983,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,0,55,5.120587110519409,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,56,3.266740560531616,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,53,2.655484199523926,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,50,13.501464366912842,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,58,10.09212064743042,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,54,11.2163724899292,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,63,8.086041450500488,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,57,16.217928409576416,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,65,2.2304744720458984,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,72,2.0869364738464355,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,70,6.908934831619263,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,70,2.5999886989593506,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,50,7.626544237136841,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,66,4.306342601776123,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,73,0.47783613204956055,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,69,0.8814301490783691,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,68,2.4365170001983643,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
015,4,0,55,5.108025550842285,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,72,4.420779705047607,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,51,15.566512107849121,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,68,7.979205369949341,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,71,16.40569019317627,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,68,16.676454305648804,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,55,15.0145583152771,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,72,10.836886405944824,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,70,21.83079171180725,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,73,18.089852809906006,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,71,13.945658922195435,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,69,12.192645072937012,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,72,23.06475067138672,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
