100,3,0,47,14.8737952709198,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,0,53,15.16368556022644,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,4,0,48,27.491113901138306,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,46,16.956748723983765,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,2,0,60,30.757879734039307,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,45,5.510465145111084,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,3.2830662727355957,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,42,0.6043589115142822,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,60,8.18477201461792,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,59,0.6665201187133789,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,52,9.230036735534668,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,52,3.2491915225982666,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,58,9.195943355560303,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,57,6.181528806686401,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,57,7.322742938995361,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,59,11.495155334472656,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,58,7.496493577957153,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,49,9.904360294342041,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,58,6.524933338165283,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,52,3.3517212867736816,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,48,4.449188470840454,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,41,4.577334880828857,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,0,49,2.2110188007354736,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,53,7.986427307128906,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,55,4.246735572814941,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,48,3.9817230701446533,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,2,0,51,16.414982080459595,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,50,4.619031667709351,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,47,8.2431640625,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,39,7.162837266921997,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,54,16.807206630706787,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,60,14.56050729751587,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,65,12.84143352508545,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,50,13.564831733703613,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,51,15.501055479049683,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,50,19.246529579162598,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,60,10.381990909576416,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,51,3.6469106674194336,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,4,0,43,30.04919672012329,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,50,18.380492687225342,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,42,0.47573137283325195,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,1.664442539215088,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,57,1.1100459098815918,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,50,2.8967506885528564,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,60,1.5091602802276611,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,44,2.394124746322632,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,68,1.5389792919158936,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,48,2.4835290908813477,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,59,9.105195999145508,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,48,5.811526536941528,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,45,3.8262369632720947,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,54,7.799034118652344,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,3,0,49,2.9134786128997803,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,42,3.0397844314575195,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,58,1.6717326641082764,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,50,11.111911296844482,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,52,11.29910683631897,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,49,6.22465443611145,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,0,52,5.5351715087890625,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,52,12.678708791732788,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,45,6.445549488067627,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,55,8.005627632141113,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,55,11.458302736282349,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,46,1.1830127239227295,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,2,0,48,4.624559164047241,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,56,14.495403051376343,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,55,13.340480327606201,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,44,15.213059902191162,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,48,9.425134420394897,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,65,10.561864852905273,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,46,14.365885972976685,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,52,21.934632778167725,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,45,14.08576488494873,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,1,0,60,15.068381309509277,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
100,3,0,50,4.8533852100372314,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,54,1.6270136833190918,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,62,3.4111626148223877,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,59,4.576600074768066,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,46,2.6358580589294434,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,46,3.864788770675659,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,49,5.788617849349976,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,46,4.226198673248291,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,53,4.3198323249816895,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,54,6.331586122512817,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,56,0.5754139423370361,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,61,4.4681785106658936,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,51,4.233545303344727,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,54,9.463003158569336,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,45,4.522002696990967,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,4,0,47,7.529279708862305,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,39,8.120928764343262,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,0,52,4.178112983703613,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,0,0,51,2.123425245285034,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,0,0,52,2.62419056892395,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,14.79789113998413,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,51,7.516567945480347,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
