020,3,0,69,3.3766350746154785,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,56,16.806811571121216,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,68,17.94757390022278,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,56,23.229429244995117,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,70,2.1624622344970703,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,61,11.075556993484497,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,61,14.294548273086548,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,69,24.94121551513672,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,62,27.21478796005249,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,68,10.966729640960693,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,59,21.786945581436157,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,63,20.25366997718811,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,62,8.573587417602539,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,65,24.047642469406128,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,62,19.631572008132935,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,60,24.635576486587524,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,69,29.86612343788147,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,69,27.7976975440979,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,66,14.527406692504883,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,68,13.96225094795227,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,2,0,67,20.905440092086792,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,61,31.83267569541931,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,53,25.641290187835693,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,55,12.705647468566895,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,62,9.858790159225464,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,54,9.499669551849365,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,56,13.484265089035034,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,68,14.985017776489258,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,62,13.859503984451294,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,69,24.074975728988647,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,22.55318570137024,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,60,6.512795925140381,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,65,18.84946370124817,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,59,16.683449745178223,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,62,14.69071364402771,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
