005,4,0,53,1.0698249340057373,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,54,0.3703770637512207,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,64,0.6594350337982178,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,56,0.600517749786377,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,59,1.0446710586547852,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,59,1.7512412071228027,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,66,0.7919597625732422,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,46,1.5061891078948975,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,1.7378039360046387,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,64,1.0541589260101318,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,61,2.28859806060791,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,70,1.0534071922302246,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,55,1.9181389808654785,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,70,0.6333355903625488,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,68,0.2355327606201172,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,71,1.5409929752349854,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,0,52,1.1997199058532715,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,62,2.0572550296783447,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,0,71,0.9547219276428223,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,50,3.838873863220215,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,62,0.8848044872283936,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,55,4.871382474899292,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,70,6.190557479858398,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,67,0.5664200782775879,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,68,1.0711383819580078,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,68,4.8480753898620605,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,68,0.761460542678833,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,66,5.593494653701782,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,53,4.65889573097229,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,0,0,74,1.59037184715271,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,74,1.2375900745391846,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,72,2.3410518169403076,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,74,1.1048762798309326,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,74,2.2425529956817627,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,74,2.232259750366211,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,1,0,62,1.0486414432525635,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
