100,3,0,72,10.742040634155273,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,72,3.7285706996917725,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,62,6.42717170715332,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,64,8.882393836975098,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,0,70,15.505536079406738,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,69,16.01643395423889,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,68,18.974722385406494,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,57,1.9365127086639404,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,53,0.2313709259033203,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,0,50,3.684826612472534,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,2.7912700176239014,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,47,1.2476606369018555,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,58,2.7552757263183594,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,51,1.6480536460876465,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,64,1.0264217853546143,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
010,0,0,52,2.606208086013794,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,57,4.7859206199646,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,46,4.4539971351623535,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,67,1.9471487998962402,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,50,7.337169408798218,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,55,5.166939973831177,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,50,8.1857328414917,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
