ParticipantID,Condition,Trial,Electrode,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,Time21,Time22,Time23,Time24,Time25,Time26,Time27,Time28,Time29,Time30,Time31,Time32,Time33,Time34,Time35,Time36,Time37,Time38,Time39,Time40,Time41,Time42,Time43,Time44,Time45,Time46,Time47,Time48,Time49,Time50,Time51,Time52,Time53,Time54,Time55,Time56,Time57,Time58,Time59,Time60,Time61,Time62,Time63,Time64,Time65,Time66,Time67,Time68,Time69,Time70,Time71,Time72,Time73,Time74,Time75,Time76,Time77,Time78,Time79,Time80,Time81,Time82,Time83,Time84,Time85,Time86,Time87,Time88,Time89,Time90,Time91,Time92,Time93,Time94,Time95,Time96,Time97,Time98,Time99,Time100
445.000000,0.000000,38.000000,1.000000,-2.129637,-3.886990,-1.475267,-0.989201,-1.554472,-1.138799,-2.502911,-4.477561,-1.584359,-2.653384,-2.638358,2.709591,0.401129,-2.284460,3.965067,11.953729,7.557047,2.336382,0.795724,0.492008,0.907264,-4.426155,-5.226919,0.401456,-2.166056,-7.146074,-7.320833,-5.105495,-1.558854,4.519588,7.678903,5.208820,5.601965,1.790092,-2.803617,-1.965855,-4.882062,-5.345184,-3.938352,-0.524130,2.906377,0.149251,0.730655,3.302026,-1.702742,-4.475280,2.376898,4.408415,-3.326679,-6.164146,5.587739,5.224187,-3.248534,-8.522314,-13.708269,-13.035163,-8.350356,-8.339670,-15.537340,-18.725501,-17.021848,-8.280950,-6.698890,-8.438926,2.174357,10.601386,7.080225,-6.209382,-13.853404,-9.991447,-6.869600,-5.253751,-0.535605,1.449066,9.026266,12.501087,3.988392,3.225623,9.400205,11.783436,14.161007,7.755667,-5.305393,-7.108449,0.376059,9.638904,6.247791,5.183762,4.203342,0.653114,0.442072,4.322696,7.056431,4.258061,2.926442,3.243522,4.494936,4.259411,3.713399,8.706019
445.000000,0.000000,39.000000,1.000000,1.459115,1.927521,6.411964,4.004618,0.788391,-0.641827,-3.707636,-10.903679,-9.596045,-0.178688,-0.590393,-0.341031,3.921208,6.407779,2.271253,-1.345943,0.436774,3.559719,4.645414,2.808088,1.324822,-2.758066,-4.271069,-1.441015,0.471579,-1.432037,-0.290637,4.501341,4.477684,5.712263,5.596309,4.563642,7.087970,8.446175,7.893323,10.180027,13.768669,11.111346,10.757344,17.238437,16.570455,12.651072,10.732286,10.645165,10.005873,9.688048,13.996693,20.078832,22.066186,22.275924,21.642162,17.306037,12.434097,14.303160,15.954502,14.111959,13.774936,13.606491,11.562294,7.092891,16.177349,27.770532,22.746772,15.722073,20.122051,24.316003,24.533531,26.368827,25.767372,25.915409,22.057348,17.917373,24.176313,25.951263,19.330650,17.242343,17.003806,16.370210,16.335849,15.702875,12.606086,15.858107,17.528537,9.726457,8.915554,9.309061,8.023857,12.871997,9.594641,1.448732,2.754658,5.963871,8.841600,14.360189,14.543848,12.532627,16.223347,15.505969,11.790467,12.852256
445.000000,0.000000,40.000000,1.000000,-0.095136,0.189684,3.004905,6.411804,5.139804,1.064112,-4.375178,-3.523577,3.801897,0.023061,-6.645931,-5.245285,-4.335623,-6.705120,-3.204310,7.133523,7.732719,-4.089026,-15.076540,-13.387730,-5.378987,-3.071463,-1.321999,-5.788841,-6.691820,1.090501,1.286927,0.440756,2.542544,0.124450,-0.017193,-0.187545,0.653671,5.417974,6.345455,7.554553,7.668335,11.728190,15.407411,14.500718,23.074316,27.526266,18.341994,18.179466,23.189616,22.077536,20.605456,20.828244,24.097023,23.744804,17.242499,18.711478,21.011499,13.065978,13.675079,23.572880,16.277951,4.175800,8.468876,9.757863,8.909070,12.394117,7.988713,-2.450953,2.835723,12.979883,15.109366,17.348953,12.541417,9.084475,10.144680,9.043682,8.917442,9.657274,18.113671,22.375926,15.428186,11.954292,13.927460,18.223079,15.695472,12.000471,14.029878,13.716781,18.898504,24.132552,23.273838,21.087189,16.001994,16.282619,21.282300,17.685543,16.593236,22.556735,22.969592,22.369803,27.770399,29.884975,23.109196,23.065193
445.000000,0.000000,41.000000,1.000000,0.228802,4.925089,-5.272198,-2.824211,0.688368,-0.521004,1.700953,2.848263,-0.691923,0.431206,3.916412,5.872768,2.080183,-1.020626,-1.130922,-5.630421,-6.834076,1.943579,8.579037,4.666288,0.345491,-2.684938,0.870552,-0.500162,-10.851707,-12.946260,-10.167885,-6.630543,-0.525867,-1.586983,-13.623220,-16.170994,-11.801598,-19.143680,-22.913191,-21.697406,-19.313176,-15.574053,-15.152691,-13.156537,-14.276941,-16.939521,-19.380427,-10.468431,-3.762493,-3.471571,-5.934950,-6.010658,-10.270276,-21.808920,-20.087152,-17.338544,-23.582499,-20.167876,-15.198802,-18.663077,-14.612333,-12.642955,-18.423112,-14.845704,-12.765084,-11.810963,-13.216210,-15.668004,-15.146062,-16.504664,-17.406357,-21.919459,-20.635212,-20.056215,-17.298386,-12.770572,-7.294403,-0.983395,-3.525055,-7.847761,-10.806492,4.037712,7.516788,-12.650653,-11.009097,-2.570160,-11.737758,-14.187687,-4.985237,-2.908278,-1.567894,-9.605351,-17.777135,-10.261090,-9.290956,-16.175772,-18.806254,-23.318847,-28.096073,-29.553717,-28.440362,-17.323215,-15.554038,-18.629708
445.000000,0.000000,42.000000,1.000000,10.805782,9.563238,15.677061,7.539275,-2.051311,-2.746727,2.028168,2.668196,-3.742197,-1.764160,3.044523,-6.941967,-13.079086,-15.132770,-4.163973,6.654732,-2.430860,-7.782070,5.690411,12.049296,0.126494,4.508610,5.704733,9.551712,10.368436,6.313675,10.022026,13.578549,12.648047,9.181223,5.802218,6.254486,12.583554,19.076692,18.001378,14.816025,19.682183,23.703970,23.220485,19.136506,18.929437,20.248710,25.821859,30.049821,28.307632,27.834007,27.875425,31.339222,30.136911,21.172756,14.225677,16.971885,24.513854,22.509050,14.982931,14.403939,20.537665,21.163752,18.968482,24.224976,16.178741,12.640802,17.541618,14.911979,13.761053,13.304233,11.759477,15.329101,21.482448,19.718650,18.687311,18.449662,14.787913,17.783094,19.034635,20.003210,14.628788,10.437630,16.920919,19.038821,9.759095,9.337866,11.201329,5.063253,6.746301,12.484452,8.780804,7.819419,3.646496,-2.379583,2.106253,7.998397,5.803064,4.151161,4.497198,2.091763,-1.771477,-1.763119,9.657253,11.715244
445.000000,0.000000,43.000000,1.000000,3.990123,3.636380,1.343590,4.229783,1.385732,-5.359288,-9.043165,-11.059984,-4.452875,-3.886538,-5.370722,-0.410557,4.745300,8.317783,4.310328,5.352341,3.576731,3.692551,9.147703,8.465613,5.740616,11.338911,14.321125,8.936363,5.310527,1.630772,2.364510,1.739693,-3.240505,-6.296953,-1.462407,-0.218980,-6.199207,-5.054469,1.073560,4.098703,5.720460,7.810725,1.822077,-4.842834,4.075093,11.062218,0.893211,0.429464,7.529074,8.349892,8.142077,8.808890,14.772785,11.789663,6.435474,11.208101,17.409615,13.949236,2.924212,0.979882,7.081236,11.127632,9.783587,7.575332,8.992742,8.084881,2.531659,0.924889,3.141150,4.558510,2.318180,0.825448,1.432769,2.982882,2.484846,0.317283,1.206276,6.012368,11.592440,7.590523,3.160610,5.400253,9.831303,9.272963,12.129063,9.851343,6.859851,10.391823,7.729395,7.375416,13.501415,16.151495,9.729469,7.532126,12.813448,10.849098,2.410959,0.151951,3.473458,-2.255212,-4.926796,-4.308571,-4.559951,-5.946886
445.000000,0.000000,44.000000,1.000000,6.832747,7.866822,3.762436,3.636454,5.132949,-1.984155,-2.360249,3.221750,4.069650,0.065585,-0.559679,-1.806119,-4.908579,-3.473555,-4.645737,-4.438389,-7.164764,-8.661061,-10.232407,-13.180617,-12.178786,-15.355948,-13.714863,-11.129540,-12.173724,-7.684223,-7.804760,-6.106898,-5.011610,-6.640220,-3.286359,4.085111,7.832319,13.205756,21.799675,16.909903,9.370143,14.290170,10.118955,4.413290,9.540454,12.401539,12.407567,16.116778,14.304054,13.676028,19.740259,18.379550,17.760495,21.062791,23.091467,18.666407,14.992759,18.792409,21.406633,23.881870,28.063287,30.819456,25.143425,16.908880,15.977833,17.302372,17.135767,20.098090,26.577133,27.500105,18.509019,15.389231,18.232617,18.896750,15.744066,17.910738,20.866446,12.499232,9.118519,14.278811,9.345423,1.080253,7.374981,11.903527,8.509221,5.889291,5.143051,6.082389,10.234964,19.274328,17.397256,6.142467,5.483845,11.364847,5.490907,3.000206,10.632016,11.985721,10.305639,9.441123,6.318979,-1.353466,-8.838625,-2.469701
445.000000,0.000000,45.000000,1.000000,3.011614,-0.624236,-0.184822,3.770645,2.787914,-0.048367,-1.709560,3.019082,6.462638,4.412802,4.985397,-0.155140,0.178053,-2.072867,-10.609234,-7.087230,-4.381538,-5.059432,-5.984646,-5.813630,-8.280024,-12.017148,-8.088971,-7.772595,-10.443882,-11.683194,-10.387570,-7.920928,-8.425383,-8.964511,-8.368245,-3.003968,-2.373429,-0.655280,5.724911,2.586743,-0.769740,-1.750255,-5.173743,-11.361153,-9.883091,0.810025,-5.229282,-11.863080,-8.210261,-1.653102,-1.873160,-8.792414,-8.558261,-7.518651,-7.777523,-7.060701,-5.330721,-5.002226,-6.087251,-3.250381,-2.874632,-7.608187,-6.439319,-2.286501,-7.169030,-7.969362,1.479214,-1.897112,-8.741930,-8.488880,-8.116223,-13.183493,-19.849842,-21.347950,-17.339592,-15.014026,-9.885446,-3.732339,-5.691807,-6.381524,-10.074244,-18.136402,-19.626791,-16.041514,-16.284445,-17.036472,-16.152039,-12.555200,-11.514497,-12.315940,-9.007229,-8.551714,-13.677424,-9.305283,-9.414752,-17.689626,-18.702133,-12.354149,-14.560582,-14.689520,-13.967653,-19.995575,-18.790561,-13.489428
445.000000,0.000000,46.000000,1.000000,-8.202408,-3.071504,-3.237956,-8.165013,-0.154864,1.268792,-0.043743,6.000268,5.656611,5.929724,4.207807,-0.575052,0.764752,2.108958,-3.046760,-2.409205,-0.093331,-4.593171,-5.895569,-4.937426,0.864982,0.414358,-6.849467,-8.079150,-4.207035,-7.432676,-8.094459,-0.031801,-0.101703,2.002597,7.506551,5.457251,1.709183,8.618078,15.518388,10.955598,9.388053,4.765768,-3.111516,1.401059,12.299956,11.996860,5.227932,3.549514,8.404838,5.661757,3.466050,6.348348,7.913524,15.136622,14.316076,5.226479,8.522745,16.473744,17.254206,10.114821,6.801719,8.625130,6.707102,5.713620,9.525492,12.457139,11.993612,8.243586,11.054599,13.613846,10.169451,11.792681,14.061380,10.275152,9.971064,8.109238,9.635833,11.731558,8.736991,7.968041,9.809673,18.966297,21.549631,10.954805,0.708924,6.793442,14.983757,18.415787,20.528441,19.745491,13.218856,11.429768,24.286450,28.859865,22.946348,23.764094,27.048191,23.329747,17.132227,18.316876,15.015741,11.727814,10.958658,13.760783
445.000000,0.000000,47.000000,1.000000,-8.829581,-3.170220,-2.941303,-9.846931,-10.327948,-3.362185,-0.816348,-3.152770,1.158315,9.763784,7.627266,3.392447,2.198420,0.279543,0.454366,3.356751,9.212612,8.251317,0.466516,-1.665744,-3.186829,-7.310767,-4.147866,3.703735,5.733616,5.578485,3.657174,0.870087,4.242075,7.808236,9.204393,10.972922,6.497126,5.812987,14.977021,14.883143,8.693178,13.491418,15.103154,7.488985,-2.433554,-2.072720,1.719048,3.073605,5.464593,1.394648,2.517476,11.884876,15.238711,10.628655,14.544637,22.131358,20.680001,13.954524,16.766303,17.507222,11.830576,10.383218,6.514855,8.233790,19.497262,22.058576,16.670791,16.080417,16.575894,10.783366,7.910296,9.540415,3.179373,-0.298276,10.558537,13.485877,7.125211,4.913444,10.785515,6.427887,-2.614509,1.161918,2.838786,3.425769,5.796951,3.995881,5.783037,1.611117,-0.304749,2.995456,4.683530,2.601926,-1.037605,0.164259,5.426013,4.367427,-0.921249,0.202632,-1.825040,-4.650819,-6.668881,-11.424701,-15.673058,-10.627982
