060,1,0,70,15.231911182403564,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,65,14.669503450393677,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,1,0,63,14.506665229797363,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,66,20.098968267440796,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,65,18.07354760169983,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,64,8.101115226745605,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,63,2.948955774307251,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,54,2.781188488006592,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,52,0.7573821544647217,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,55,0.7286365032196045,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,56,6.040271043777466,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,55,1.8999323844909668,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,51,1.1134145259857178,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,58,2.542384386062622,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,53,10.21983003616333,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,54,7.863744497299194,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,62,4.945154190063477,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,49,7.893011808395386,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,1,0,62,3.1513688564300537,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,61,10.207440614700317,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,56,3.9327871799468994,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,70,12.21495795249939,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,56,4.488536596298218,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,63,11.355104446411133,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,51,0.7580351829528809,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,48,7.82136344909668,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,52,6.421927452087402,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,61,14.508118152618408,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,62,7.291008234024048,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,58,8.086686611175537,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,0,52,16.817800521850586,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,57,10.01093316078186,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,63,15.090732097625732,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,54,13.017524480819702,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,61,15.750283002853394,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,1,0,61,15.072178840637207,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,58,23.855829000473022,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,67,30.124239206314087,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,64,26.53762125968933,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,68,38.09791851043701,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,62,42.99326300621033,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,64,1.9722180366516113,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,46,0.5056736469268799,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,53,2.3890786170959473,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,49,6.550949335098267,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,49,9.534662246704102,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,57,6.796391248703003,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,44,6.000138998031616,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,60,8.187855005264282,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,1,0,56,6.670118808746338,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,54,7.147378921508789,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,60,6.476693630218506,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,54,12.547815561294556,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,59,2.152543067932129,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,59,6.7688679695129395,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,5.964927673339844,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,61,16.415812492370605,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,62,6.363513946533203,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,67,11.873573541641235,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,62,12.987700462341309,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,67,2.9683663845062256,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,58,13.895232677459717,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,66,12.411669492721558,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,68,10.962575435638428,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,63,11.514066219329834,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,66,5.290551424026489,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,56,7.504601716995239,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,58,13.917316436767578,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,63,11.212959289550781,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,53,11.519287824630737,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,62,7.157607078552246,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,67,14.586164951324463,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,63,13.031402111053467,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,0,69,7.271413087844849,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,64,27.6338050365448,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,64,18.637629985809326,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,54,3.207796573638916,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,45,9.491126537322998,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,52,12.806037902832031,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,56,8.453458309173584,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,62,8.78064751625061,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,58,5.932034015655518,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,54,9.803600311279297,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,50,11.640408992767334,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,55,6.485759258270264,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,64,9.345464706420898,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,63,5.655974626541138,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,52,11.833472967147827,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,3,0,52,8.527966260910034,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,43,2.475029706954956,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,60,5.854778528213501,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,56,5.616178274154663,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,63,11.134432792663574,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,59,11.084355354309082,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,0,64,8.702823400497437,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,64,11.045579671859741,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,52,12.349790334701538,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,63,10.96414828300476,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,60,11.058212757110596,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,0,59,9.472658157348633,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,0,49,15.058157920837402,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,63,14.43703293800354,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,60,9.924349546432495,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,65,16.906130075454712,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,71,10.702409029006958,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,66,20.829970598220825,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,67,12.464479446411133,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,0,61,13.198488712310791,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,0,73,13.85700011253357,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,69,12.09758973121643,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,58,17.432569980621338,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,52,0.6501481533050537,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,63,2.414787530899048,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,48,3.398030996322632,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,60,1.6430561542510986,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,58,2.1053645610809326,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,58,0.5530221462249756,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,65,1.6421196460723877,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,53,5.027033805847168,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,66,4.057778835296631,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,0,54,5.034041166305542,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,51,3.7399778366088867,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,54,5.103391885757446,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,54,0.7969276905059814,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,57,4.915093421936035,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,2,0,57,3.3107686042785645,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,67,7.578948259353638,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,50,4.461339950561523,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,63,8.62779974937439,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
