060,2,0,64,21.823676109313965,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,75,35.53626251220703,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,62,46.511383295059204,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,0,71,32.050790309906006,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,0,72,26.757534980773926,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,75,38.33360934257507,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,53,13.084726095199585,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,50,0.6114072799682617,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,49,12.349327564239502,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,58,1.1115269660949707,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,50,1.422745704650879,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,65,4.723495244979858,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,46,13.90754222869873,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,51,20.933615684509277,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,73,9.533195972442627,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,54,19.348571062088013,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,0,0,54,9.672314882278442,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,72,7.98873233795166,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,69,2.651216506958008,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,43,18.944148063659668,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,66,16.266271829605103,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,51,18.951453685760498,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,56,22.04444432258606,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,64,17.555092573165894,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,69,14.655510902404785,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,65,7.33658766746521,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,3,0,57,22.15311312675476,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,67,11.292164325714111,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,58,17.0720112323761,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,72,6.103143215179443,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,69,15.2956702709198,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,70,19.351938009262085,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,71,1.3792533874511719,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,67,25.04810357093811,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,67,35.92023468017578,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,72,18.978168487548828,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,71,21.49587345123291,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,69,15.998447895050049,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,75,13.914422035217285,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,62,28.920594215393066,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,0,75,44.19196152687073,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,57,7.44411826133728,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,53,11.146841287612915,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,53,16.682071924209595,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,50,2.9695932865142822,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,51,17.454505681991577,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,58,18.308163166046143,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,67,17.286759853363037,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,61,10.31481385231018,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,63,4.962375164031982,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,0,47,13.784874200820923,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,61,13.671027421951294,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,59,12.856536865234375,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,54,13.591064453125,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,52,14.039892435073853,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,61,10.276729583740234,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,61,16.248603105545044,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
