005,0,0,50,9.111615896224976,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,54,6.51102089881897,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,62,3.5721614360809326,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,66,1.2524335384368896,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,61,5.422785758972168,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,0,68,0.4238154888153076,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,56,11.571366786956787,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,71,4.622525691986084,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,69,6.371010780334473,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,66,1.0768249034881592,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,51,4.7002363204956055,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,68,1.315103530883789,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,47,4.208280801773071,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,69,7.232916831970215,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,67,2.152926206588745,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,53,15.050952672958374,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,4,0,68,6.604187250137329,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,22.45491123199463,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,46,11.890490055084229,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,0,71,7.340565919876099,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,68,16.787758588790894,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,60,22.644034385681152,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,72,0.7930150032043457,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,59,14.051586627960205,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,70,25.767995357513428,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,77,20.08318328857422,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,2,0,61,4.9028098583221436,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,58,12.374779462814331,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,50,14.196089267730713,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,54,11.417675256729126,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,56,13.064203262329102,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,67,4.370622634887695,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,61,15.106870412826538,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,67,14.746275424957275,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,58,2.974353551864624,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,52,6.91132926940918,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,56,9.282601594924927,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,73,8.138303995132446,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,54,9.860258102416992,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,71,11.152244806289673,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,61,16.211453199386597,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,61,15.276445388793945,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
