005,4,0,47,7.588421821594238,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,2.1875903606414795,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,53,4.559355974197388,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,4,0,60,2.3826639652252197,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,48,4.105544805526733,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,42,10.416367053985596,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,56,11.130027055740356,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,46,6.408446550369263,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,46,5.336011171340942,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,42,6.320095777511597,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,38,3.9511470794677734,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,51,6.5184526443481445,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,54,11.316929817199707,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,41,10.064371109008789,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,59,7.282435417175293,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,53,13.147972345352173,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,51,14.646610736846924,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,55,7.717747211456299,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,50,14.892638206481934,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,0,52,8.242255449295044,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,3,0,59,16.68219757080078,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,43,19.486188411712646,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,51,21.863775968551636,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,41,14.8393075466156,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,0,46,23.69086718559265,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,44,23.344348669052124,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,61,4.712579250335693,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,58,7.147405624389648,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,47,6.62747049331665,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,11.902064323425293,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,41,7.133387565612793,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,51,9.55869460105896,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,54,10.16067123413086,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,48,10.306073904037476,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,50,9.166518688201904,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,52,9.077609539031982,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,54,6.35893440246582,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,41,16.290630102157593,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,52,2.3961925506591797,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,0,40,3.4485902786254883,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,51,16.463798761367798,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,51,10.36634373664856,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,44,8.52786111831665,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,53,8.429278135299683,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,53,8.824192523956299,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,50,7.6250927448272705,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,52,11.688697814941406,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,50,10.406843185424805,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,49,6.94060754776001,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,2,0,49,17.313963174819946,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,0,0,52,20.332533836364746,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,52,16.773380756378174,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,48,14.574405431747437,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,57,17.012042760849,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,0,44,21.406291007995605,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,58,7.186767816543579,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,0,0,42,1.5482144355773926,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,55,4.936720132827759,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,43,4.212894439697266,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,47,5.849215745925903,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,45,4.093853950500488,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,53,4.280122756958008,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,45,7.947661399841309,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,64,8.500429391860962,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,53,1.157200574874878,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,1,0,51,2.482004165649414,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,45,2.8683884143829346,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,61,8.085190773010254,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,51,2.8375580310821533,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,3,0,54,3.0827085971832275,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,49,12.830461978912354,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,44,12.97468376159668,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,40,5.880311727523804,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,49,8.478899478912354,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,15.379473686218262,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,58,4.597150802612305,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,48,10.134427309036255,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,53,3.4786293506622314,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,54,13.53499150276184,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,45,13.46238374710083,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,0,52,15.46578311920166,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,46,17.082674741744995,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,42,22.981973886489868,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,47,10.468969583511353,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,51,14.536823034286499,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,0,53,11.5196213722229,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,46,4.241419315338135,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,57,2.575895071029663,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,45,5.757948160171509,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,47,5.888580799102783,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,0,52,5.0640552043914795,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,43,3.7681005001068115,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,51,7.7748072147369385,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,45,6.8223536014556885,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,60,5.550591707229614,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,60,6.81338095664978,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,51,6.440349578857422,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,44,11.629242658615112,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,50,7.792980432510376,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,49,7.200995206832886,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,51,12.50619888305664,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,1,0,43,3.1826584339141846,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,42,15.911513566970825,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,58,6.065589904785156,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,55,21.353761434555054,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,0,49,6.610854387283325,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,51,7.908871412277222,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,0,59,18.670369863510132,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,1,0,51,4.603020429611206,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,50,15.784222841262817,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,47,7.230502128601074,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,0,46,14.299161672592163,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,52,11.70434856414795,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,2,0,49,4.534935712814331,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,60,8.603250741958618,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,54,18.27056884765625,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,36,2.1957297325134277,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,41,6.579180955886841,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,51,4.850044250488281,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,38,7.090834379196167,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,0,50,6.122989654541016,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,52,6.302222490310669,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,52,7.086681842803955,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,59,0.9189982414245605,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,59,2.0434558391571045,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,54,11.05893850326538,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,58,14.740055561065674,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,9.406575679779053,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,57,13.667851209640503,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,16.992084741592407,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,56,18.593179941177368,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,46,1.3831772804260254,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,52,4.95575213432312,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,16.582521438598633,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,50,5.2558510303497314,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,0,42,8.34296703338623,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,53,15.06045389175415,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,35,10.36262559890747,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,58,2.5076634883880615,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,47,11.451591730117798,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,57,6.670529127120972,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,51,14.70249891281128,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,44,14.616536855697632,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,51,9.537322759628296,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,49,8.185765504837036,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,41,7.2463109493255615,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,48,2.2024004459381104,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,47,2.446007490158081,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,54,0.6998944282531738,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,0,51,3.650723934173584,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,43,4.610270738601685,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,53,1.1930038928985596,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,34,8.163440942764282,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,45,6.349156141281128,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,53,0.2818281650543213,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,44,2.1325623989105225,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,2,0,48,0.6694412231445312,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,44,8.254063606262207,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,43,6.121580123901367,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,46,9.936457872390747,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,60,3.0415399074554443,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,55,15.261548042297363,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,50,16.2397563457489,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,61,10.190720081329346,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,57,7.615086793899536,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,61,5.876650094985962,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,51,8.327280521392822,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,40,8.675824165344238,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,53,6.171069860458374,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,57,7.431375980377197,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,48,5.1502366065979,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,47,1.2369558811187744,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,66,17.330784797668457,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,46,17.90182614326477,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,43,15.805801391601562,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,46,10.89435863494873,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,1.80055832862854,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,42,3.6739933490753174,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,51,5.590587139129639,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,45,2.8001818656921387,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,58,7.89276909828186,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,38,11.616575956344604,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,47,8.13322377204895,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,48,4.5910444259643555,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,52,9.618479490280151,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,56,3.8701884746551514,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,46,8.686238288879395,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,51,0.9094328880310059,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,45,2.2596778869628906,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,46,5.903683662414551,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,50,8.19780158996582,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,37,8.636169672012329,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,62,6.458613872528076,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,61,7.186359643936157,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,43,11.601424217224121,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,49,8.268162488937378,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,1,0,50,5.527731657028198,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,2,0,46,3.147150754928589,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,53,7.29988956451416,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,61,11.567416191101074,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,56,10.956316947937012,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,45,9.990345001220703,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,60,9.670232057571411,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,0,61,10.044342279434204,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,55,28.85981035232544,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,50,19.718857765197754,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,42,2.138490915298462,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,50,2.5346109867095947,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,56,4.016216278076172,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
