010,4,0,46,6.828424692153931,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,69,18.093748092651367,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,61,8.508208751678467,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,64,8.548015117645264,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,58,13.830818891525269,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,59,9.56838846206665,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,52,3.8079116344451904,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,1,0,68,2.4500699043273926,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,58,11.45180630683899,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,2,0,55,21.25148320198059,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,50,19.041804552078247,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,59,16.13639736175537,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,67,10.376048803329468,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,59,15.179210186004639,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,68,15.017446279525757,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,59,15.836055755615234,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,66,13.552674770355225,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,57,2.460761070251465,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,68,16.37937355041504,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,68,17.48525905609131,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,71,35.3197226524353,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,63,31.460781812667847,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,77,24.75262427330017,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,71,39.246968269348145,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,68,26.260279178619385,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,2,0,56,12.222939729690552,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,55,15.854750156402588,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,50,17.520328283309937,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,1,0,48,15.99110722541809,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,65,13.959728717803955,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,4,0,63,2.3955349922180176,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,58,19.131839752197266,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,48,18.049882888793945,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,50,5.877172946929932,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,48,18.103901624679565,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,67,6.620223045349121,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,74,22.03286075592041,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,63,18.98036527633667,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,66,9.533393621444702,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,65,13.714319229125977,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,51,21.79045057296753,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,59,14.147894859313965,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,70,2.4149606227874756,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,72,13.09867000579834,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,58,12.892833709716797,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,63,18.986018896102905,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,67,20.407789945602417,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,69,19.78952431678772,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,3,0,58,22.8737952709198,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,66,18.14372706413269,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,77,22.58593773841858,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,71,41.27918195724487,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,68,13.980449438095093,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,71,43.01146745681763,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,63,36.06206798553467,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,61,1.3767149448394775,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,55,1.1565656661987305,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,50,3.655669689178467,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,55,5.736113786697388,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,68,1.503124713897705,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,67,1.68131685256958,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,58,18.645121335983276,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,71,1.3356196880340576,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,46,9.691407442092896,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,57,15.580952405929565,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,65,3.7050020694732666,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,55,11.192051887512207,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,57,17.109562158584595,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,70,12.854783535003662,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,50,6.6963210105896,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,59,23.144283533096313,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,63,14.635276317596436,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,63,11.849729776382446,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,68,20.6525297164917,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,59,15.80332088470459,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,78,12.937156677246094,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,66,15.370832681655884,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,68,27.739643573760986,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,63,6.744523525238037,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,70,15.694040060043335,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,67,26.801557302474976,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,69,15.506212711334229,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
060,3,0,65,40.48193168640137,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,0,69,24.716049432754517,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,72,9.261803150177002,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,59,4.416895866394043,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,54,9.650524854660034,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,21.113105058670044,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,61,19.345153331756592,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,52,22.275484323501587,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,69,18.82379388809204,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,47,11.668550252914429,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,50,8.444966793060303,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,56,21.407511949539185,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,53,18.673365116119385,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,62,19.32307195663452,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,58,9.33204174041748,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,60,1.406869888305664,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,67,5.179121971130371,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,61,25.51622986793518,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,66,23.999549388885498,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,68,5.361903190612793,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,61,21.501402139663696,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,59,21.187459230422974,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,67,11.292505741119385,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,71,12.910353183746338,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,70,6.058912992477417,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,63,12.80664587020874,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,71,7.795174598693848,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,71,2.272209882736206,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,3,0,66,20.066575288772583,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,66,19.178556203842163,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,71,23.09678316116333,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,63,20.28338360786438,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,71,36.352620124816895,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,50,12.500277757644653,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,58,8.779758930206299,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,55,1.484182596206665,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,61,0.8452515602111816,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,54,12.256163120269775,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,63,3.3542370796203613,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,0,65,0.6616885662078857,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,45,23.66528844833374,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,59,2.0237441062927246,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,51,0.3176295757293701,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,52,1.5928688049316406,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,69,2.1304240226745605,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,58,12.705260753631592,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,46,13.264042854309082,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,62,12.78614854812622,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,68,2.0625967979431152,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,65,1.184556484222412,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,57,19.35168766975403,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,1,0,68,1.779737949371338,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,48,20.129374027252197,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,0,65,2.7468488216400146,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,0,66,4.327049732208252,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,62,9.42467451095581,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
