005,3,0,70,6.057686805725098,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,65,1.5723600387573242,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,65,3.6018128395080566,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,55,3.6478524208068848,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,55,10.894649982452393,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,55,11.9600088596344,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,65,10.057254791259766,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,60,0.6317923069000244,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,45,20.303898096084595,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,6.634488105773926,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,55,4.387426137924194,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,70,1.2300834655761719,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,60,17.859227895736694,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,5.402874946594238,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,80,15.092971324920654,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,6.608408689498901,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,60,7.008543968200684,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,4.15169882774353,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,70,4.327193737030029,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,45,7.358071327209473,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,70,5.659687042236328,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,60,4.159653425216675,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,60,5.244294166564941,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,14.038178443908691,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,70,0.6120254993438721,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,7.7925989627838135,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,60,3.0665948390960693,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,55,5.816112995147705,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,60,6.289976119995117,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,50,8.126672744750977,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,65,0.8576376438140869,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,18.908693313598633,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,70,4.453156232833862,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,9.111178159713745,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,10.441285848617554,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,60,7.999041795730591,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,65,8.667876482009888,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,3.6257212162017822,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,60,8.651651859283447,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,60,6.26691198348999,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,75,0.893373966217041,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,70,2.6405463218688965,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,55,9.480326414108276,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,65,7.670030355453491,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,65,5.352646350860596,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,65,18.14073395729065,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,11.578548669815063,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,65,2.61655855178833,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,7.837531089782715,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,55,10.747029542922974,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,70,10.982731819152832,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
