005,2,0,50,4.848454475402832,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,70,5.969442844390869,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,55,4.975431680679321,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,50,4.748070001602173,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,55,9.628268241882324,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,85,6.006876230239868,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,70,6.231046438217163,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,70,5.1615071296691895,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,65,6.742689371109009,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,50,7.07514214515686,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,8.546882152557373,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,80,6.212836742401123,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,65,10.638703107833862,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,80,12.258448123931885,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,55,9.483385562896729,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,75,9.248475074768066,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,70,8.872041463851929,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,1.7744896411895752,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,55,7.023591995239258,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,70,1.3059730529785156,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,65,6.647475004196167,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,2,0,65,0.716191291809082,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
