010,0,0,50,6.921698331832886,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,50,12.011089324951172,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,60,4.58703351020813,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,80,8.741194725036621,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,65,13.762706756591797,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,50,12.933252573013306,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,60,23.245891571044922,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,70,9.847142219543457,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,60,22.25341796875,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,60,8.557554483413696,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,70,4.04051661491394,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,70,7.491032838821411,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,55,20.94847559928894,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,50,5.744029521942139,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,70,13.922679901123047,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,2,0,60,15.404994487762451,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,1.8847651481628418,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,0.8376524448394775,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,70,4.7767698764801025,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,55,7.4635090827941895,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,70,4.1785643100738525,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,60,7.275677680969238,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,65,7.546666622161865,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,70,6.733386039733887,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,55,3.340550184249878,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,65,4.165025949478149,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,15.836164951324463,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,45,15.243910312652588,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,75,14.82029390335083,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,65,15.370711088180542,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,75,13.67285442352295,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,75,4.558091163635254,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,55,10.760604858398438,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,65,16.471785306930542,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,65,7.929045677185059,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,60,10.017280578613281,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,70,7.49459171295166,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,40,8.685492992401123,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,45,12.012866258621216,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,65,10.474481344223022,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,55,15.053616523742676,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,75,7.542779445648193,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,70,10.01137661933899,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,60,12.463033676147461,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,70,9.042431354522705,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,40,14.108451843261719,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,60,18.03130841255188,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,55,11.721098899841309,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,12.69347095489502,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,55,11.372467756271362,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,12.61954951286316,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,75,13.256038665771484,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,13.52427339553833,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,55,13.407388687133789,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,13.529290914535522,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,60,13.382999897003174,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,8.571895360946655,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,70,6.827331304550171,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,60,0.8990976810455322,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,50,11.462761402130127,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,55,14.710014820098877,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,10.705930233001709,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,70,15.723797082901001,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,15.267109155654907,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,55,11.35042691230774,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,60,12.030927658081055,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,60,15.322120666503906,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,65,13.16287612915039,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,75,9.245110511779785,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,55,12.755297422409058,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,65,16.01933455467224,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,70,14.60180377960205,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,75,12.384700059890747,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,55,12.228668451309204,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,60,14.347728967666626,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,60,22.348811626434326,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,70,3.531174898147583,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,3.8307690620422363,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,45,2.0071916580200195,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,50,2.608602285385132,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,70,1.9438753128051758,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,55,4.3155436515808105,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,1.551856279373169,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,60,5.727096080780029,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,70,12.249469518661499,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,70,1.9359633922576904,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,75,5.736660718917847,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,50,14.714499711990356,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,50,17.37727451324463,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,55,17.574034929275513,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,18.03516125679016,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,70,16.82557439804077,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,50,15.30967402458191,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,80,0.3588531017303467,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,65,15.478711605072021,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,75,22.18044638633728,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,50,0.7124786376953125,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
