010,3,0,75,0.4425990581512451,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,0.46608543395996094,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,50,12.469353914260864,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,13.398648977279663,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,1.0879309177398682,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,60,13.666370391845703,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,50,5.204519271850586,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,50,9.597119808197021,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,70,7.680450201034546,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,70,9.554285764694214,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,65,5.70135498046875,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,55,13.102312803268433,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,4.823680639266968,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,7.913404703140259,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,5.88347053527832,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,50,14.020853996276855,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,50,6.0200886726379395,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,50,4.482587814331055,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,50,0.369387149810791,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,55,1.001291036605835,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,55,6.421698093414307,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,8.784721612930298,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,55,4.363143444061279,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,55,9.26734471321106,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,65,1.8631043434143066,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,70,1.175302267074585,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,50,1.8526358604431152,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,1.8081622123718262,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,4.868036508560181,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,50,8.38681936264038,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
