010,1,0,50,4.354506015777588,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,55,8.677668571472168,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,50,3.3217203617095947,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,60,6.812700033187866,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,50,13.95807957649231,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,45,14.203197240829468,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,50,1.5925014019012451,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,50,2.3946144580841064,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,50,5.324401378631592,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,16.796898126602173,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,50,1.8068983554840088,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,50,12.872101783752441,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,55,1.8960299491882324,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,75,11.980059146881104,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,55,7.895822763442993,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,45,11.881114959716797,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,40,10.962091207504272,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,50,11.741610050201416,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,50,5.646917343139648,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,50,4.311370849609375,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
