005,4,0,55,3.494396924972534,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,55,1.2068252563476562,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,75,0.8581864833831787,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,65,2.223804473876953,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,75,2.146148920059204,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,70,2.592991828918457,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,45,2.0900163650512695,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,65,6.140376329421997,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,75,4.550711393356323,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,75,6.901397943496704,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,50,4.099030494689941,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,80,0.2652311325073242,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,75,2.727214813232422,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,80,0.6003928184509277,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,75,1.1663968563079834,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,45,3.6832802295684814,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,80,3.2833940982818604,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,70,4.343161344528198,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,70,3.44358491897583,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,65,2.895909547805786,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,75,1.138190507888794,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,50,16.53623342514038,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,10.245559453964233,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
