005,4,0,40,55.44403100013733,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
010,0,0,50,59.14508318901062,{'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 25}
005,3,0,50,70.58299422264099,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 75}
005,0,0,55,96.16911053657532,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 75}
005,1,0,55,156.66552662849426,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 125}
010,1,0,50,217.76061701774597,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 150}
010,4,0,50,248.32706499099731,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 25}
005,2,0,50,319.55829429626465,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 125}
015,3,0,50,321.57567524909973,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 150}
015,2,0,50,376.3974986076355,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 25}
020,4,0,45,368.28869891166687,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 125}
010,2,0,50,426.7903621196747,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
020,1,0,50,409.8315737247467,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50}
015,4,0,50,553.0004096031189,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 75}
010,3,0,55,708.5220897197723,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 50}
015,1,0,50,750.3105990886688,{'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 25}
020,2,0,50,774.6143097877502,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 150}
020,0,0,50,794.8402171134949,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 25}
015,0,0,55,829.4480049610138,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
020,3,0,45,822.1694803237915,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 150}
010,3,0,60,51.3850371837616,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
005,0,0,50,79.05070281028748,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 125}
020,1,0,55,216.97820949554443,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 125}
005,1,0,50,326.2609784603119,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 25}
005,4,0,50,371.68635869026184,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
010,2,0,70,382.3670771121979,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
015,4,0,50,412.4235351085663,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 125}
020,2,0,55,485.94849610328674,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 125}
010,1,0,50,550.1323285102844,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 25}
010,0,0,50,574.2995359897614,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50}
005,2,0,50,591.8704452514648,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 150}
010,4,0,55,650.8011660575867,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 75}
005,3,0,55,699.0523176193237,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 125}
015,1,0,55,728.7072510719299,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50}
015,0,0,50,738.6866400241852,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 150}
015,3,0,45,804.7567229270935,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50}
020,0,0,50,801.759548664093,{'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 75}
020,4,0,45,820.8733637332916,{'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 150}
015,2,0,50,831.0746021270752,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 100}
020,3,0,50,851.2137525081635,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
005,3,0,50,81.14227414131165,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100}
010,1,0,20,93.24962043762207,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50}
005,2,0,50,114.43479561805725,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 25}
010,3,0,50,126.12397646903992,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50}
010,4,0,60,332.203884601593,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 25}
005,1,0,50,366.227388381958,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100}
005,4,0,45,532.2243003845215,{'criterion': 'entropy', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 150}
015,4,0,50,512.5683689117432,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50}
010,0,0,55,543.8290917873383,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
005,0,0,50,558.2916638851166,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 125}
020,3,0,50,543.8355815410614,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 25}
020,4,0,50,658.4860994815826,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 50}
010,2,0,50,692.7385663986206,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100}
015,1,0,50,737.2657134532928,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50}
