020,4,0,55,1.9790000915527344,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,45,1.2064855098724365,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,45,2.891590118408203,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,55,1.9691853523254395,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,45,3.1631417274475098,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,55,3.3050105571746826,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,55,2.7864327430725098,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,80,1.7922847270965576,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,3.3926379680633545,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,2.3104844093322754,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,55,2.534857749938965,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,80,3.5048952102661133,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,75,3.704525947570801,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,7.282590866088867,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,3.162379026412964,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,5.782912731170654,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,6.839910984039307,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,4.219007968902588,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,4.528976202011108,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,1.8847274780273438,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,55,11.168533563613892,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,45,13.08387017250061,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,55,8.99560832977295,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
