005,4,0,65,12.655641794204712,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,50,2.001781463623047,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,60,15.536580324172974,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,20.27577543258667,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,65,10.602540969848633,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,8.800685405731201,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,50,7.4731175899505615,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,55,11.032735824584961,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,55,8.687820672988892,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,50,10.760663032531738,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,60,15.119184970855713,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,70,20.241867542266846,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,40,14.840295553207397,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,14.473844051361084,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,60,13.68835711479187,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,6.553157567977905,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,55,9.566589593887329,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,4.604754209518433,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,11.359045028686523,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,50,4.7178661823272705,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,9.457316875457764,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,50,15.406140804290771,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,55,19.814667224884033,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,55,20.947341203689575,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,50,0.8306131362915039,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,60,0.5416429042816162,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,9.622874736785889,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,55,13.308297395706177,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,17.319112062454224,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,24.278344869613647,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,65,10.552772045135498,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,65,8.225854873657227,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,65,15.803337812423706,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,50,20.094238758087158,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,50,17.752245664596558,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,70,0.4618499279022217,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,70,13.903249263763428,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,1.2149875164031982,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,9.139866352081299,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,55,3.261840581893921,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,55,0.44075822830200195,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,55,6.003363847732544,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,55,10.501787900924683,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,50,1.2342722415924072,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,50,0.6171185970306396,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,0.690685510635376,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,7.949731111526489,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,50,8.854946374893188,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,50,4.583003044128418,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
