060,4,0,67,0.5739040374755859,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,0,0,65,2.774315118789673,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,1,0,71,1.2528727054595947,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,69,1.5295851230621338,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,70,1.3662753105163574,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,65,1.9315965175628662,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,0,0,65,0.17686247825622559,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,67,0.1760108470916748,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,57,0.17567801475524902,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,59,0.1762087345123291,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,67,0.1764516830444336,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,60,0.18109345436096191,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,56,0.18067669868469238,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
010,2,0,62,0.184586763381958,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,60,0.18486309051513672,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,64,0.1833057403564453,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,66,0.19098353385925293,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,55,0.20034003257751465,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,0,59,0.19343066215515137,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,46,0.2021198272705078,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,59,0.19043278694152832,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,59,0.2182753086090088,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,62,0.21821141242980957,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,64,0.20414996147155762,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,65,0.2586655616760254,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,62,0.20581650733947754,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,67,0.2592437267303467,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,61,0.2835841178894043,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
030,2,0,52,0.2853865623474121,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,68,0.296734094619751,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,65,0.4375598430633545,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,69,0.6642444133758545,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,66,0.725121021270752,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,62,0.7066795825958252,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
060,3,0,66,0.584099531173706,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,67,0.801849365234375,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,0,0,72,1.7041585445404053,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,68,1.2763559818267822,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,65,1.3012290000915527,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,3,0,70,1.939960241317749,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,70,1.2229664325714111,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,68,0.17720437049865723,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,68,0.1763763427734375,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,51,0.17758560180664062,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,58,0.1772778034210205,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,55,0.1774463653564453,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,60,0.1847832202911377,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,52,0.18224787712097168,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
010,2,0,62,0.18502569198608398,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,49,0.18689441680908203,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,61,0.18523383140563965,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,62,0.19404315948486328,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,0,62,0.19556331634521484,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,61,0.19237375259399414,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,59,0.22156119346618652,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,64,0.18954896926879883,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,67,0.22117257118225098,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,1,0,61,0.21492409706115723,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,51,0.2100238800048828,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
020,3,0,68,0.2701437473297119,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,62,0.21027374267578125,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,70,0.2539060115814209,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,62,0.2899017333984375,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,67,0.2850162982940674,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,66,0.28925442695617676,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,62,0.2634541988372803,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
060,0,0,68,0.5853307247161865,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,68,1.7025344371795654,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,61,0.7785396575927734,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,3,0,69,0.6013541221618652,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,68,0.6140010356903076,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,0,70,1.6224522590637207,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,71,1.2087655067443848,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,65,1.5716149806976318,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,3,0,68,1.824620008468628,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
