060,3,8000,70,0.6087868213653564,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,8000,71,0.604623556137085,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,72,0.9706544876098633,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,8000,73,0.9710438251495361,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,8000,77,0.9685180187225342,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,8000,74,0.9754815101623535,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,8000,76,0.9744622707366943,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,8000,62,0.26201772689819336,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,8000,62,0.2711193561553955,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,8000,57,0.2727782726287842,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,8000,70,0.2804567813873291,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,8000,64,0.2634098529815674,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,8000,70,0.2994709014892578,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,8000,61,0.3057420253753662,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,8000,59,0.29520130157470703,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,8000,59,0.28935742378234863,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,8000,72,0.3006727695465088,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,8000,71,0.3223612308502197,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,8000,69,0.31402087211608887,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,8000,68,0.3270609378814697,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
015,3,8000,74,0.31456995010375977,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,8000,72,0.32367420196533203,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,8000,69,0.33775854110717773,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,62,0.34136271476745605,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,8000,72,0.3425631523132324,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,8000,66,0.3318185806274414,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,71,0.34827733039855957,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,8000,72,0.3921799659729004,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,8000,73,0.38808107376098633,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,8000,70,0.39048123359680176,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,3,8000,72,0.39072465896606445,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,74,0.396773099899292,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,8000,72,0.6130216121673584,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,69,0.6126391887664795,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,8000,66,0.6071431636810303,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,8000,72,0.6131114959716797,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,8000,71,0.6049799919128418,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,76,0.9812252521514893,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,8000,75,0.9856586456298828,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,8000,76,0.9594600200653076,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,72,0.9801771640777588,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,76,0.9875524044036865,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,8000,62,0.258237361907959,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,8000,61,0.2687203884124756,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,8000,54,0.2685725688934326,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,8000,70,0.27471137046813965,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,8000,64,0.2604966163635254,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,8000,66,0.2931544780731201,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,8000,60,0.2995338439941406,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,8000,59,0.2918558120727539,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,8000,61,0.2836320400238037,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,8000,70,0.29509806632995605,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,8000,71,0.3160688877105713,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,1,8000,62,0.31111836433410645,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,8000,69,0.32300639152526855,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,70,0.3142833709716797,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,72,0.3193380832672119,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,8000,67,0.3364570140838623,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,8000,62,0.3376426696777344,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,8000,70,0.3386344909667969,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,8000,67,0.32659363746643066,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,8000,70,0.3464667797088623,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,8000,72,0.38936686515808105,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,8000,71,0.38442230224609375,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
030,2,8000,67,0.38805294036865234,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,8000,74,0.3912031650543213,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,8000,73,0.390108585357666,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,72,0.6141128540039062,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,70,0.6062891483306885,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,8000,71,0.6053786277770996,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,8000,71,0.6133542060852051,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,8000,71,0.5984005928039551,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,8000,76,0.9624483585357666,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,8000,73,0.9849848747253418,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,8000,73,0.9658432006835938,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,8000,74,0.9865932464599609,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,76,0.9821524620056152,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,8000,62,0.2635483741760254,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,8000,61,0.2719385623931885,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
