060,3,8000,73,1.5844175815582275,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
060,4,8000,75,1.5884206295013428,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,78,2.74873423576355,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,74,2.7687981128692627,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,8000,75,2.6432323455810547,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,76,2.7681052684783936,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,8000,75,2.709277391433716,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,8000,61,0.49625229835510254,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,8000,66,0.4938836097717285,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,8000,64,0.508836030960083,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,8000,68,0.483457088470459,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,8000,56,0.49431419372558594,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
010,0,8000,66,0.6480321884155273,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,71,0.6018426418304443,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,8000,72,0.5720639228820801,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,8000,67,0.5849440097808838,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,66,0.5987179279327393,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,8000,73,0.6138794422149658,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,8000,70,0.6968855857849121,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,8000,72,0.6131682395935059,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,8000,72,0.6866908073425293,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,8000,68,0.6524567604064941,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,8000,68,0.7031891345977783,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,8000,72,0.7336323261260986,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,8000,70,0.7882351875305176,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
020,3,8000,70,0.7376425266265869,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,8000,64,0.783959150314331,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,8000,73,0.8794569969177246,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,8000,74,0.966468095779419,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,8000,73,0.9090485572814941,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,8000,72,0.9620556831359863,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,8000,72,0.9460606575012207,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,74,1.7057573795318604,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,77,1.7167513370513916,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,73,1.7128593921661377,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,8000,72,1.708009958267212,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,75,1.696366548538208,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,76,2.6981074810028076,{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}
100,1,8000,75,2.7518699169158936,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,8000,75,2.8444018363952637,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,73,2.713618040084839,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,8000,75,2.6847684383392334,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
