100,0,0,70,0.9564049243927002,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,71,0.9676637649536133,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,71,0.970491886138916,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,71,0.9674251079559326,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,70,0.9638276100158691,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,51,0.18694686889648438,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,63,0.18479108810424805,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,51,0.18295574188232422,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,65,0.18245220184326172,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,61,0.18222641944885254,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,57,0.1968090534210205,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,63,0.1962137222290039,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,55,0.19745254516601562,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,56,0.19724369049072266,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,50,0.19711065292358398,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,49,0.21882343292236328,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,50,0.21712732315063477,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,52,0.2181403636932373,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,55,0.21896004676818848,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,66,0.21782994270324707,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,66,0.24386835098266602,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,60,0.2425239086151123,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,63,0.24235939979553223,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,68,0.24376320838928223,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,63,0.2461378574371338,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,0,52,0.3206620216369629,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,1,0,72,0.3161180019378662,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,66,0.31224513053894043,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,66,0.3141748905181885,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,4,0,73,0.3119368553161621,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,67,0.6100907325744629,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,67,0.6110336780548096,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,69,0.5922517776489258,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,72,0.6033735275268555,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,63,0.5925412178039551,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,0,70,0.9767653942108154,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,1,0,70,0.9756617546081543,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,70,0.9674782752990723,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,70,0.9888489246368408,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,70,0.976588249206543,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,62,0.18459439277648926,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,62,0.185563325881958,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,56,0.18303847312927246,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,55,0.18292999267578125,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,61,0.18029546737670898,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,52,0.19754791259765625,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,60,0.19712090492248535,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,53,0.19868946075439453,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,56,0.19756531715393066,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,50,0.1963183879852295,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,72,0.2158832550048828,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,65,0.21587324142456055,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,52,0.21803498268127441,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,55,0.2168712615966797,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,68,0.21734309196472168,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,58,0.24147367477416992,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,1,0,57,0.244171142578125,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,67,0.24123716354370117,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,68,0.23984265327453613,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,54,0.24324870109558105,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,65,0.31665945053100586,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,72,0.3121359348297119,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,66,0.3096771240234375,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,70,0.3080151081085205,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,73,0.31096434593200684,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,67,0.6037471294403076,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,68,0.5959029197692871,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,2,0,69,0.5961308479309082,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,62,0.6036920547485352,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,69,0.5893828868865967,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,70,0.9586746692657471,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,70,0.9534046649932861,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,71,0.9690670967102051,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,70,0.9671034812927246,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,70,0.9708058834075928,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,51,0.22147822380065918,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,59,0.18154573440551758,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,56,0.20268702507019043,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,55,0.18035459518432617,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,61,0.17966604232788086,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,57,0.19368267059326172,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,60,0.19593524932861328,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,58,0.193770170211792,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,60,0.19412565231323242,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
