060,0,0,72,0.8000869750976562,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,67,1.1361217498779297,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,75,1.1441235542297363,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,74,2.33876895904541,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,75,1.1386387348175049,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,74,1.1546411514282227,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,74,1.1681268215179443,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,74,1.192331314086914,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,62,0.4800548553466797,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.5840644836425781,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.5840647220611572,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,64,0.5840640068054199,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,62,0.6080691814422607,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,53,0.6000635623931885,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,53,0.536055326461792,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,63,0.6000635623931885,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,63,0.632066011428833,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,67,0.6119246482849121,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,63,0.9879653453826904,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,67,0.47591590881347656,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,66,0.8999605178833008,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,67,0.8160886764526367,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,67,0.6400690078735352,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,73,0.5120499134063721,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,67,0.7840816974639893,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,67,1.2411561012268066,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,66,1.3960156440734863,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,68,1.192126989364624,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,0,58,0.8560938835144043,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,50,0.6240646839141846,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,50,0.784080982208252,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,53,0.6240627765655518,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,68,0.9921061992645264,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,67,1.064429521560669,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,73,2.168548583984375,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,68,1.4241507053375244,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,67,2.2346296310424805,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,68,2.138305187225342,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,62,0.4825742244720459,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.610588788986206,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.5865867137908936,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.5360589027404785,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.6240670680999756,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,0.4960520267486572,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,0.9921057224273682,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,56,1.1761260032653809,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,1.160125732421875,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,1.136122226715088,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,73,0.6720757484436035,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,66,1.0641179084777832,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,61,0.6640753746032715,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,67,0.6240699291229248,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,73,0.5600628852844238,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,66,0.9441022872924805,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,71,1.1761276721954346,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,66,0.5840613842010498,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,67,1.160125494003296,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,68,1.128119945526123,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,0,68,0.568061113357544,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,60,1.5123116970062256,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,55,1.2642858028411865,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,63,1.3202898502349854,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,68,0.7680823802947998,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,72,0.8480918407440186,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,70,0.7760834693908691,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,67,1.5146875381469727,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,68,1.1226463317871094,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,72,1.3546721935272217,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,74,1.6507041454315186,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,75,1.3281447887420654,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,70,1.3041396141052246,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,68,1.2321321964263916,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,64,0.513502836227417,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,64,0.4800543785095215,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,62,0.5280566215515137,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.6640708446502686,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,0.5920641422271729,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,62,0.9201004505157471,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,51,0.5200562477111816,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,0.8720946311950684,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,52,1.0321111679077148,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,66,0.5120553970336914,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,52,1.0081079006195068,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,67,0.6080653667449951,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,66,0.6960766315460205,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,67,0.7920863628387451,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,72,0.9040970802307129,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,67,0.5280556678771973,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,67,0.5680615901947021,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,66,0.5200557708740234,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,67,0.5384140014648438,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,67,1.1144771575927734,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,68,0.6181795597076416,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,63,0.7544398307800293,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,60,0.6320681571960449,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,68,0.5760564804077148,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,66,0.7280733585357666,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,72,0.818408727645874,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,68,0.7864067554473877,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,69,0.7784080505371094,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,67,0.7280714511871338,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,67,1.6825029850006104,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,75,1.1841282844543457,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,70,1.3441448211669922,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,73,1.2881391048431396,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,75,1.3041417598724365,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,68,1.4986958503723145,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,62,0.45604848861694336,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.6985957622528076,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,64,0.6105880737304688,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,62,0.8026082515716553,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,64,0.7626051902770996,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,0,53,0.504056453704834,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,0.5760648250579834,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,52,0.6000669002532959,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,52,0.5360572338104248,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,56,0.5840649604797363,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,52,0.5360569953918457,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,67,0.6080653667449951,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,67,0.7200751304626465,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,67,0.6480696201324463,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,67,0.6560711860656738,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,67,1.0801184177398682,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
